created_at,entry_id,field1,field2,field3,field4,field5,field6,field7
2023-09-25 14:56:29 UTC,108239,0,0,,,,,
2023-09-25 14:57:29 UTC,108240,0,0,,,,,
2023-09-25 14:58:29 UTC,108241,0,0,,,,,
2023-09-25 14:59:29 UTC,108242,0,0,,,,,
2023-09-25 15:00:06 UTC,108267,,,24.366,1.222,1.297,29.775252,31.602701999999997
2023-09-25 15:15:05 UTC,108268,,,24.354,1.205,1.202,29.34657,29.273508
2023-09-25 15:30:06 UTC,108269,,,24.257,1.195,0.849,28.987115000000003,20.594193
2023-09-25 15:40:29 UTC,108247,0.7,95.043585,,,,,
2023-09-25 15:41:29 UTC,108248,2.8,6082.78944,,,,,
2023-09-25 15:42:29 UTC,108249,3.5,11880.448125,,,,,
2023-09-25 15:43:29 UTC,108250,2.2,2950.5075600000014,,,,,
2023-09-25 15:44:29 UTC,108251,2.9,6758.069955,,,,,
2023-09-25 15:45:06 UTC,108270,,,24.199,1.208,0.662,29.232392,16.019738
2023-09-25 15:45:29 UTC,108252,2.5,4329.609375,,,,,
2023-09-25 15:46:29 UTC,108253,1.6,1134.9811200000004,,,,,
2023-09-25 15:47:29 UTC,108254,2.5,4329.609375,,,,,
2023-09-25 15:48:29 UTC,108255,2.3,3371.4148649999997,,,,,
2023-09-25 15:49:29 UTC,108256,2.3,3371.4148649999997,,,,,
2023-09-25 15:50:29 UTC,108257,2.7,5454.060885000002,,,,,
2023-09-25 15:51:29 UTC,108258,1.6,1134.9811200000004,,,,,
2023-09-25 15:52:29 UTC,108259,1.3,608.7777150000001,,,,,
2023-09-25 15:53:29 UTC,108260,0.7,95.043585,,,,,
2023-09-25 15:54:29 UTC,108261,4.3,22030.992165,,,,,
2023-09-25 15:55:29 UTC,108262,1.7,1361.367735,,,,,
2023-09-25 15:56:29 UTC,108263,0.9,202.00225500000005,,,,,
2023-09-25 15:57:29 UTC,108264,1.1,368.8134450000002,,,,,
2023-09-25 15:58:29 UTC,108265,1,277.095,,,,,
2023-09-25 15:59:29 UTC,108266,2,2216.76,,,,,
2023-09-25 16:00:05 UTC,108271,,,24.183,1.2,1.866,29.019599999999997,45.125478
2023-09-25 16:15:06 UTC,108272,,,24.135,1.198,1.797,28.91373,43.370595
2023-09-25 16:30:06 UTC,108273,,,24.238,1.181,3.218,28.625078000000002,77.997884
2023-09-25 16:45:05 UTC,108274,,,24.302,1.17,4.883,28.433339999999998,118.66666599999999
2023-09-25 17:00:06 UTC,108295,,,24.088,1.2,0.563,28.9056,13.561544
2023-09-25 17:15:06 UTC,108296,,,24.098,1.205,0.561,29.03809,13.518978
2023-09-25 17:30:06 UTC,108297,,,24.144,1.203,1.021,29.045232,24.651023999999996
2023-09-25 17:40:30 UTC,108275,6.3,69286.77346499999,,,,,
2023-09-25 17:41:30 UTC,108276,4.2,20529.414360000002,,,,,
2023-09-25 17:42:30 UTC,108277,1.2,478.82016,,,,,
2023-09-25 17:43:30 UTC,108278,5.3,41253.072315,,,,,
2023-09-25 17:44:30 UTC,108279,6.7,83339.92348500002,,,,,
2023-09-25 17:45:06 UTC,108298,,,24.133,1.211,0.852,29.225063000000002,20.561315999999998
2023-09-25 17:45:30 UTC,108280,2.6,4870.2217200000005,,,,,
2023-09-25 17:46:30 UTC,108281,5.5,46101.68062500001,,,,,
2023-09-25 17:47:30 UTC,108282,3.4,10890.94188,,,,,
2023-09-25 17:48:30 UTC,108283,1.9,1900.594605,,,,,
2023-09-25 17:49:30 UTC,108284,3.7,14035.693035000004,,,,,
2023-09-25 17:50:30 UTC,108285,3.3,9957.963015000001,,,,,
2023-09-25 17:51:30 UTC,108286,0.1,0.2770950000000001,,,,,
2023-09-25 17:52:30 UTC,108287,2.2,2950.5075600000014,,,,,
2023-09-25 17:53:30 UTC,108288,0.1,0.2770950000000001,,,,,
2023-09-25 17:54:30 UTC,108289,1,277.095,,,,,
2023-09-25 17:55:30 UTC,108290,2.2,2950.5075600000014,,,,,
2023-09-25 17:56:30 UTC,108291,3.2,9079.848960000003,,,,,
2023-09-25 17:57:30 UTC,108292,2,2216.76,,,,,
2023-09-25 17:58:30 UTC,108293,2.3,3371.4148649999997,,,,,
2023-09-25 17:59:30 UTC,108294,1.7,1361.367735,,,,,
2023-09-25 18:00:06 UTC,108319,,,24.198,1.224,1.406,29.618352,34.022388
2023-09-25 18:15:05 UTC,108320,,,24.251,1.216,0.643,29.489216,15.593393
2023-09-25 18:30:05 UTC,108321,,,24.086,1.186,1.202,28.565996,28.951371999999996
2023-09-25 18:40:30 UTC,108299,2.9,6758.069955,,,,,
2023-09-25 18:41:30 UTC,108300,0.6,59.85252,,,,,
2023-09-25 18:42:30 UTC,108301,0.2,2.2167600000000007,,,,,
2023-09-25 18:43:30 UTC,108302,1.3,608.7777150000001,,,,,
2023-09-25 18:44:30 UTC,108303,3.5,11880.448125,,,,,
2023-09-25 18:45:06 UTC,108322,,,24.059,1.181,3.846,28.413679000000002,92.53091400000001
2023-09-25 18:45:30 UTC,108304,1,277.095,,,,,
2023-09-25 18:46:30 UTC,108305,1.8,1616.0180400000004,,,,,
2023-09-25 18:47:30 UTC,108306,0.6,59.85252,,,,,
2023-09-25 18:48:30 UTC,108307,0.4,17.734080000000006,,,,,
2023-09-25 18:49:30 UTC,108308,2.6,4870.2217200000005,,,,,
2023-09-25 18:50:30 UTC,108309,1.3,608.7777150000001,,,,,
2023-09-25 18:51:30 UTC,108310,2.9,6758.069955,,,,,
2023-09-25 18:52:30 UTC,108311,4.8,30644.49024,,,,,
2023-09-25 18:53:30 UTC,108312,1.4,760.34868,,,,,
2023-09-25 18:54:30 UTC,108313,2.2,2950.5075600000014,,,,,
2023-09-25 18:55:30 UTC,108314,2.3,3371.4148649999997,,,,,
2023-09-25 18:56:30 UTC,108315,0.9,202.00225500000005,,,,,
2023-09-25 18:57:30 UTC,108316,0.1,0.2770950000000001,,,,,
2023-09-25 18:58:30 UTC,108317,2.2,2950.5075600000014,,,,,
2023-09-25 18:59:30 UTC,108318,1.3,608.7777150000001,,,,,
2023-09-25 19:40:30 UTC,108323,1.9,1900.594605,,,,,
2023-09-25 19:41:30 UTC,108324,4.3,22030.992165,,,,,
2023-09-25 19:42:30 UTC,108325,2.8,6082.78944,,,,,
2023-09-25 19:43:31 UTC,108326,3,7481.5650000000005,,,,,
2023-09-25 19:44:30 UTC,108327,2.3,3371.4148649999997,,,,,
2023-09-25 19:45:31 UTC,108328,1,277.095,,,,,
2023-09-25 19:46:30 UTC,108329,0,0,,,,,
2023-09-25 19:47:30 UTC,108330,2.3,3371.4148649999997,,,,,
2023-09-25 19:48:30 UTC,108331,1,277.095,,,,,
2023-09-25 19:49:30 UTC,108332,1.1,368.8134450000002,,,,,
2023-09-25 19:50:30 UTC,108333,0.4,17.734080000000006,,,,,
2023-09-25 19:51:30 UTC,108334,0.9,202.00225500000005,,,,,
2023-09-25 19:52:30 UTC,108335,2.1,2566.1767950000003,,,,,
2023-09-25 19:53:30 UTC,108336,0.6,59.85252,,,,,
2023-09-25 19:54:30 UTC,108337,2,2216.76,,,,,
2023-09-25 19:55:30 UTC,108338,5.5,46101.68062500001,,,,,
2023-09-25 19:56:30 UTC,108339,3.3,9957.963015000001,,,,,
2023-09-25 19:57:30 UTC,108340,2.2,2950.5075600000014,,,,,
2023-09-25 19:58:30 UTC,108341,3.2,9079.848960000003,,,,,
2023-09-25 19:59:30 UTC,108342,0.5,34.636875,,,,,
