created_at,entry_id,field1,field2,field3,field4,field5,field6,field7
2023-10-09 18:58:13 UTC,116291,0.5,34.636875,,,,,
2023-10-09 18:59:13 UTC,116292,0,0,,,,,
2023-10-09 19:00:05 UTC,116319,,,24.485,1.202,3.915,29.43097,95.858775
2023-10-09 19:00:13 UTC,116293,0,0,,,,,
2023-10-09 19:01:14 UTC,116294,0,0,,,,,
2023-10-09 19:15:06 UTC,116320,,,24.378,1.166,2.355,28.424747999999997,57.41019
2023-10-09 19:30:06 UTC,116321,,,24.335,1.176,6.867,28.61796,167.10844500000002
2023-10-09 19:42:14 UTC,116299,0.4,17.734080000000006,,,,,
2023-10-09 19:43:14 UTC,116300,0.3,7.481565,,,,,
2023-10-09 19:44:14 UTC,116301,0.7,95.043585,,,,,
2023-10-09 19:45:06 UTC,116322,,,24.368,1.162,11.204,28.315615999999995,273.019072
2023-10-09 19:45:14 UTC,116302,0.5,34.636875,,,,,
2023-10-09 19:46:14 UTC,116303,0.2,2.2167600000000007,,,,,
2023-10-09 19:47:14 UTC,116304,0,0,,,,,
2023-10-09 19:48:14 UTC,116305,0,0,,,,,
2023-10-09 19:49:14 UTC,116306,0.4,17.734080000000006,,,,,
2023-10-09 19:50:14 UTC,116307,0.8,141.87264000000005,,,,,
2023-10-09 19:51:14 UTC,116308,0.3,7.481565,,,,,
2023-10-09 19:52:14 UTC,116309,2.5,4329.609375,,,,,
2023-10-09 19:53:14 UTC,116310,2.4,3830.56128,,,,,
2023-10-09 19:54:14 UTC,116311,3,7481.5650000000005,,,,,
2023-10-09 19:55:14 UTC,116312,1.2,478.82016,,,,,
2023-10-09 19:56:14 UTC,116313,0.6,59.85252,,,,,
2023-10-09 19:57:14 UTC,116314,1,277.095,,,,,
2023-10-09 19:58:14 UTC,116315,0.6,59.85252,,,,,
2023-10-09 19:59:14 UTC,116316,0.7,95.043585,,,,,
2023-10-09 20:00:06 UTC,116343,,,24.461,1.646,7.854,40.262806,192.116694
2023-10-09 20:00:14 UTC,116317,0,0,,,,,
2023-10-09 20:01:14 UTC,116318,0,0,,,,,
2023-10-09 20:15:06 UTC,116344,,,24.447,3.107,6.639,75.956829,162.303633
2023-10-09 20:30:06 UTC,116345,,,24.576,6.933,8.236,170.385408,202.407936
2023-10-09 20:42:14 UTC,116323,1.6,1134.9811200000004,,,,,
2023-10-09 20:43:14 UTC,116324,0.7,95.043585,,,,,
2023-10-09 20:44:14 UTC,116325,2.9,6758.069955,,,,,
2023-10-09 20:45:06 UTC,116346,,,24.558,12.176,8.067,299.018208,198.109386
2023-10-09 20:45:14 UTC,116326,0,0,,,,,
2023-10-09 20:46:14 UTC,116327,0.3,7.481565,,,,,
2023-10-09 20:47:14 UTC,116328,1.8,1616.0180400000004,,,,,
2023-10-09 20:48:14 UTC,116329,0,0,,,,,
2023-10-09 20:49:14 UTC,116330,0,0,,,,,
2023-10-09 20:50:14 UTC,116331,0,0,,,,,
2023-10-09 20:51:14 UTC,116332,3.5,11880.448125,,,,,
2023-10-09 20:52:14 UTC,116333,0,0,,,,,
2023-10-09 20:53:14 UTC,116334,0,0,,,,,
2023-10-09 20:54:14 UTC,116335,0,0,,,,,
2023-10-09 20:55:14 UTC,116336,0,0,,,,,
2023-10-09 20:56:14 UTC,116337,0,0,,,,,
2023-10-09 20:57:14 UTC,116338,0,0,,,,,
2023-10-09 20:58:14 UTC,116339,0.1,0.2770950000000001,,,,,
2023-10-09 20:59:14 UTC,116340,0,0,,,,,
2023-10-09 21:00:06 UTC,116367,,,25.001,18.418,9.539,460.468418,238.484539
2023-10-09 21:00:14 UTC,116341,0.2,2.2167600000000007,,,,,
2023-10-09 21:01:14 UTC,116342,1.2,478.82016,,,,,
2023-10-09 21:15:05 UTC,116368,,,24.743,23.532,5.904,582.2522759999999,146.082672
2023-10-09 21:30:06 UTC,116369,,,25.204,31.507,5.869,794.102428,147.922276
2023-10-09 21:42:14 UTC,116347,0.2,2.2167600000000007,,,,,
2023-10-09 21:43:14 UTC,116348,1.2,478.82016,,,,,
2023-10-09 21:44:14 UTC,116349,0,0,,,,,
2023-10-09 21:45:06 UTC,116370,,,25.801,47.436,3.371,1223.8962359999998,86.97517099999999
2023-10-09 21:45:14 UTC,116350,2,2216.76,,,,,
2023-10-09 21:46:14 UTC,116351,0,0,,,,,
2023-10-09 21:47:14 UTC,116352,0,0,,,,,
2023-10-09 21:48:14 UTC,116353,0,0,,,,,
2023-10-09 21:49:14 UTC,116354,0,0,,,,,
2023-10-09 21:50:14 UTC,116355,1,277.095,,,,,
2023-10-09 21:51:14 UTC,116356,1.1,368.8134450000002,,,,,
2023-10-09 21:52:14 UTC,116357,0,0,,,,,
2023-10-09 21:53:14 UTC,116358,0,0,,,,,
2023-10-09 21:54:14 UTC,116359,0,0,,,,,
2023-10-09 21:55:14 UTC,116360,1.5,935.1956250000001,,,,,
2023-10-09 21:56:14 UTC,116361,1.4,760.34868,,,,,
2023-10-09 21:57:14 UTC,116362,0,0,,,,,
2023-10-09 21:58:14 UTC,116363,0,0,,,,,
2023-10-09 21:59:14 UTC,116364,0.1,0.2770950000000001,,,,,
2023-10-09 22:00:06 UTC,116391,,,26.221,60.548,3.561,1587.629108,93.372981
2023-10-09 22:00:14 UTC,116365,0,0,,,,,
