created_at,entry_id,field1,field2,field3,field4,field5,field6,field7
2023-09-21 16:56:00 UTC,106009,0.4,17.734080000000006,,,,,
2023-09-21 16:57:00 UTC,106010,0,0,,,,,
2023-09-21 16:58:00 UTC,106011,0,0,,,,,
2023-09-21 16:59:00 UTC,106012,0,0,,,,,
2023-09-21 17:00:05 UTC,106037,,,24.201,1.227,0.732,29.694627000000004,17.715132
2023-09-21 17:15:05 UTC,106038,,,24.175,1.206,0.756,29.15505,18.2763
2023-09-21 17:30:06 UTC,106039,,,24.197,1.218,1.192,29.471946,28.842823999999997
2023-09-21 17:40:00 UTC,106017,0,0,,,,,
2023-09-21 17:41:00 UTC,106018,0,0,,,,,
2023-09-21 17:42:00 UTC,106019,0,0,,,,,
2023-09-21 17:43:00 UTC,106020,0.6,59.85252,,,,,
2023-09-21 17:44:00 UTC,106021,2.1,2566.1767950000003,,,,,
2023-09-21 17:45:00 UTC,106022,1.4,760.34868,,,,,
2023-09-21 17:45:06 UTC,106040,,,24.234,1.208,2.001,29.274672000000002,48.492234
2023-09-21 17:46:00 UTC,106023,3,7481.5650000000005,,,,,
2023-09-21 17:47:00 UTC,106024,1,277.095,,,,,
2023-09-21 17:48:00 UTC,106025,1.2,478.82016,,,,,
2023-09-21 17:49:00 UTC,106026,0,0,,,,,
2023-09-21 17:50:00 UTC,106027,0,0,,,,,
2023-09-21 17:51:00 UTC,106028,0,0,,,,,
2023-09-21 17:52:00 UTC,106029,0,0,,,,,
2023-09-21 17:53:00 UTC,106030,0,0,,,,,
2023-09-21 17:54:00 UTC,106031,0,0,,,,,
2023-09-21 17:55:00 UTC,106032,0,0,,,,,
2023-09-21 17:56:00 UTC,106033,0,0,,,,,
2023-09-21 17:57:00 UTC,106034,0,0,,,,,
2023-09-21 17:58:00 UTC,106035,0,0,,,,,
2023-09-21 17:59:00 UTC,106036,0,0,,,,,
2023-09-21 18:00:05 UTC,106061,,,24.258,1.181,2.235,28.648698,54.216629999999995
2023-09-21 18:15:06 UTC,106062,,,24.28,1.186,1.891,28.79608,45.91348
2023-09-21 18:30:05 UTC,106063,,,24.187,1.184,2.736,28.637408,66.17563200000001
2023-09-21 18:41:00 UTC,106041,0,0,,,,,
2023-09-21 18:42:00 UTC,106042,0,0,,,,,
2023-09-21 18:43:00 UTC,106043,0.2,2.2167600000000007,,,,,
