created_at,entry_id,field1,field2,field3,field4,field5,field6,field7
2023-09-23 21:00:16 UTC,107254,1.1,368.8134450000002,,,,,
2023-09-23 21:15:05 UTC,107280,,,24.698,8.738,7.727,215.81112399999998,190.84144600000002
2023-09-23 21:30:06 UTC,107281,,,24.523,12.827,10.296,314.556521,252.48880799999998
2023-09-23 21:41:16 UTC,107259,0.8,141.87264000000005,,,,,
2023-09-23 21:42:16 UTC,107260,2.4,3830.56128,,,,,
2023-09-23 21:43:16 UTC,107261,2.2,2950.5075600000014,,,,,
2023-09-23 21:44:16 UTC,107262,1.2,478.82016,,,,,
2023-09-23 21:45:05 UTC,107282,,,24.479,15.345,5.103,375.630255,124.91633699999998
2023-09-23 21:45:16 UTC,107263,1.1,368.8134450000002,,,,,
2023-09-23 21:46:16 UTC,107264,1.1,368.8134450000002,,,,,
2023-09-23 21:47:16 UTC,107265,1.7,1361.367735,,,,,
2023-09-23 21:48:16 UTC,107266,0.5,34.636875,,,,,
2023-09-23 21:49:16 UTC,107267,0.4,17.734080000000006,,,,,
2023-09-23 21:50:16 UTC,107268,0.2,2.2167600000000007,,,,,
2023-09-23 21:51:16 UTC,107269,0.8,141.87264000000005,,,,,
2023-09-23 21:52:16 UTC,107270,0.9,202.00225500000005,,,,,
2023-09-23 21:53:16 UTC,107271,1.5,935.1956250000001,,,,,
2023-09-23 21:54:16 UTC,107272,1,277.095,,,,,
2023-09-23 21:55:16 UTC,107273,0.4,17.734080000000006,,,,,
2023-09-23 21:56:16 UTC,107274,3.1,8254.937145000002,,,,,
2023-09-23 21:57:16 UTC,107275,0.1,0.2770950000000001,,,,,
2023-09-23 21:58:16 UTC,107276,0.3,7.481565,,,,,
2023-09-23 21:59:16 UTC,107277,0.9,202.00225500000005,,,,,
2023-09-23 22:00:06 UTC,107303,,,25.553,36.034,7.358,920.776802,188.018974
2023-09-23 22:00:16 UTC,107278,0.2,2.2167600000000007,,,,,
2023-09-23 22:15:05 UTC,107304,,,25.952,41.956,10.616,1088.842112,275.506432
2023-09-23 22:30:06 UTC,107305,,,25.649,37.911,8.637,972.3792390000001,221.530413
2023-09-23 22:40:16 UTC,107283,0.8,141.87264000000005,,,,,
2023-09-23 22:41:16 UTC,107284,0.2,2.2167600000000007,,,,,
2023-09-23 22:42:17 UTC,107285,1,277.095,,,,,
2023-09-23 22:43:17 UTC,107286,1,277.095,,,,,
2023-09-23 22:44:17 UTC,107287,1.5,935.1956250000001,,,,,
2023-09-23 22:45:06 UTC,107306,,,25.639,37.705,5.963,966.718495,152.885357
2023-09-23 22:45:17 UTC,107288,0,0,,,,,
2023-09-23 22:46:17 UTC,107289,0.9,202.00225500000005,,,,,
2023-09-23 22:47:17 UTC,107290,1.1,368.8134450000002,,,,,
2023-09-23 22:48:17 UTC,107291,1.2,478.82016,,,,,
2023-09-23 22:49:17 UTC,107292,1.2,478.82016,,,,,
2023-09-23 22:50:17 UTC,107293,1.5,935.1956250000001,,,,,
2023-09-23 22:51:17 UTC,107294,0.9,202.00225500000005,,,,,
2023-09-23 22:52:17 UTC,107295,1.1,368.8134450000002,,,,,
2023-09-23 22:53:17 UTC,107296,0.5,34.636875,,,,,
2023-09-23 22:54:17 UTC,107297,1.3,608.7777150000001,,,,,
2023-09-23 22:55:17 UTC,107298,2.2,2950.5075600000014,,,,,
2023-09-23 22:56:17 UTC,107299,1.9,1900.594605,,,,,
2023-09-23 22:57:17 UTC,107300,2.2,2950.5075600000014,,,,,
2023-09-23 22:58:17 UTC,107301,3.2,9079.848960000003,,,,,
2023-09-23 22:59:17 UTC,107302,2.1,2566.1767950000003,,,,,
2023-09-23 23:00:06 UTC,107327,,,26.596,80.993,3.605,2154.0898279999997,95.87858
2023-09-23 23:15:06 UTC,107328,,,26.761,86.788,8.68,2322.533668,232.28547999999998
2023-09-23 23:30:05 UTC,107329,,,26.792,80.132,12.374,2146.896544,331.52420800000004
2023-09-23 23:40:17 UTC,107307,1.8,1616.0180400000004,,,,,
2023-09-23 23:41:17 UTC,107308,1.1,368.8134450000002,,,,,
2023-09-23 23:42:17 UTC,107309,0.5,34.636875,,,,,
2023-09-23 23:43:17 UTC,107310,1.6,1134.9811200000004,,,,,
2023-09-23 23:44:17 UTC,107311,0.6,59.85252,,,,,
2023-09-23 23:45:05 UTC,107330,,,26.417,63.57,8.688,1679.32869,229.51089600000003
2023-09-23 23:45:17 UTC,107312,0,0,,,,,
2023-09-23 23:46:17 UTC,107313,2.5,4329.609375,,,,,
2023-09-23 23:47:17 UTC,107314,0.3,7.481565,,,,,
2023-09-23 23:48:17 UTC,107315,0.6,59.85252,,,,,
2023-09-23 23:49:17 UTC,107316,0.2,2.2167600000000007,,,,,
2023-09-23 23:50:17 UTC,107317,0.4,17.734080000000006,,,,,
2023-09-23 23:51:17 UTC,107318,0.1,0.2770950000000001,,,,,
2023-09-23 23:52:17 UTC,107319,0,0,,,,,
2023-09-23 23:53:17 UTC,107320,0.3,7.481565,,,,,
2023-09-23 23:54:17 UTC,107321,2,2216.76,,,,,
2023-09-23 23:55:17 UTC,107322,0.4,17.734080000000006,,,,,
2023-09-23 23:56:17 UTC,107323,0.7,95.043585,,,,,
2023-09-23 23:57:17 UTC,107324,1.5,935.1956250000001,,,,,
2023-09-23 23:58:17 UTC,107325,0.3,7.481565,,,,,
2023-09-23 23:59:17 UTC,107326,1.4,760.34868,,,,,
2023-09-24 00:00:06 UTC,107351,,,26.729,66.086,7.229,1766.4126939999999,193.223941
2023-09-24 00:15:06 UTC,107352,,,26.726,56.411,9.153,1507.640386,244.623078
2023-09-24 00:30:05 UTC,107353,,,26.726,60.358,3.763,1613.127908,100.569938
2023-09-24 00:40:17 UTC,107331,2.6,4870.2217200000005,,,,,
2023-09-24 00:41:17 UTC,107332,0.1,0.2770950000000001,,,,,
2023-09-24 00:42:17 UTC,107333,0.7,95.043585,,,,,
2023-09-24 00:43:17 UTC,107334,0.9,202.00225500000005,,,,,
2023-09-24 00:44:17 UTC,107335,1.5,935.1956250000001,,,,,
2023-09-24 00:45:06 UTC,107354,,,26.843,47.966,11.249,1287.551338,301.956907
2023-09-24 00:45:17 UTC,107336,0,0,,,,,
2023-09-24 00:46:17 UTC,107337,0.1,0.2770950000000001,,,,,
2023-09-24 00:47:17 UTC,107338,1.4,760.34868,,,,,
2023-09-24 00:48:17 UTC,107339,1.4,760.34868,,,,,
2023-09-24 00:49:17 UTC,107340,0,0,,,,,
2023-09-24 00:50:17 UTC,107341,0,0,,,,,
2023-09-24 00:51:17 UTC,107342,0.9,202.00225500000005,,,,,
2023-09-24 00:52:17 UTC,107343,1.7,1361.367735,,,,,
2023-09-24 00:53:17 UTC,107344,1.7,1361.367735,,,,,
2023-09-24 00:54:17 UTC,107345,2.3,3371.4148649999997,,,,,
2023-09-24 00:55:17 UTC,107346,2.6,4870.2217200000005,,,,,
2023-09-24 00:56:17 UTC,107347,1.5,935.1956250000001,,,,,
2023-09-24 00:57:17 UTC,107348,0.8,141.87264000000005,,,,,
2023-09-24 00:58:17 UTC,107349,1.6,1134.9811200000004,,,,,
2023-09-24 00:59:17 UTC,107350,3.8,15204.75684,,,,,
2023-09-24 01:00:06 UTC,107355,,,26.777,39.358,12.257,1053.889166,328.205689
2023-09-24 01:15:05 UTC,107356,,,26.713,37.497,16.183,1001.657361,432.29647900000003
2023-09-24 01:30:06 UTC,107357,,,26.763,41.653,7.771,1114.759239,207.97527300000002
2023-09-24 01:45:05 UTC,107358,,,26.798,34.724,6.809,930.5337519999998,182.467582
